Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Reliance Industries Ltd,RELIANCE,Energy,Oil & Gas - Refining & Marketing,1762050.275,25.30917791,5905,13.31222471,925788,458991,158788,152883,48.96377587,7.935513764,9.416424035,0.383989839,0.495784132,1285.45
HDFC Bank Ltd,HDFCBANK,Financials,Private Banks,1377342.58,21.50013611,14782.62,4.698014116,469778.65,,19069.34,4286.72,97.23567559,16.85673681,4.615515635,1.075547653,0,1821.45
Tata Consultancy Services Ltd,TCS,Information Technology,IT Services & Consulting,1312985.87,28.60037183,41664,20.0083474,91319,8021,44338,2674,126.1704653,50.30324613,63.17426133,2.011601152,0.087834952,3657.75
Bharti Airtel Ltd,BHARTIARTL,Communication Services,Telecom Services,1028932.771,137.7973445,38846.7,41.11091512,105563.9,215592.3,78898.2,40051.5,12.84920485,7.044067163,11.64547123,0.439685642,2.04229192,1730.5
ICICI Bank Ltd,ICICIBANK,Financials,Private Banks,959657.8858,21.68405744,153605.93,48.03226056,270032.26,,157284.48,3678.55,63.19774374,18.01908241,6.528727006,0.731781798,0,1343.7
State Bank of India,SBIN,Financials,Public Banks,696834.3323,10.38738865,21632.43,5.896382028,430557.13,,21632.43,0,75.16814569,16.72256109,5.124775277,1.754608985,0,772.85
Infosys Ltd,INFY,Information Technology,IT Services & Consulting,659888.4844,25.15489972,23009,18.20136294,88461,8359,25210,2201,63.39276676,31.94160335,37.49820007,2.885907751,0.094493619,1628.45
Bajaj Finance Ltd,BAJFINANCE,Financials,Consumer Finance,562928.4301,38.95383073,-73797.92,-89.34488053,76695.35,293345.83,-72760.14,1037.78,236.4337249,22.05152115,5.654878506,0.39522409,3.824818975,9067.25
Hindustan Unilever Ltd,HINDUNILVR,Consumer Staples,FMCG - Household Products,530114.7805,51.58263895,13992,19.22099421,51423,1484,15469,1477,43.73952256,20.16185198,21.73349793,1.861537098,0.028858682,2271.3
ITC Ltd,ITC,Consumer Staples,FMCG - Tobacco,514205.1818,25.13371676,13616.33,25.35702093,74889.97,303.43,17178.86,3562.53,15.5374865,28.33061781,34.86894079,3.338446034,0.004051677,409.8
Life Insurance Corporation Of India,LICI,Financials,Insurance,506347.691,12.37534332,25353.88,5.846008926,82899.6,0,26121.65,767.77,64.68910267,63.31293791,0.895112016,1.249141669,0,789.4
Larsen and Toubro Ltd,LT,Industrials,Construction & Engineering,478821.284,36.66569039,13749.75,10.4971686,102549.66,116322.22,18266.28,4516.53,93.94533532,12.671558,18.48036665,0.976120624,1.134301372,3469.6
HCL Technologies Ltd,HCLTECH,Information Technology,IT Services & Consulting,434767.8512,27.6886926,21400,20.32181696,68271,5758,22448,1048,57.86270392,23.49385422,28.21185107,3.24565362,0.084340349,1624.9
Kotak Mahindra Bank Ltd,KOTAKBANK,Financials,Private Banks,432667.1466,23.7556777,14558.31,26.03733594,129971.69,,15685,1126.69,91.6508401,15.03446607,7.396177078,0.091891465,0,2170
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Health Care,Pharmaceuticals,428233.3054,44.71766006,9933.17,19.12212707,67105.97,3273.67,12134.98,2201.81,39.91264296,15.14993026,16.57741308,0.75638727,0.048783588,1764.75
Maruti Suzuki India Ltd,MARUTI,Consumer Discretionary,Four Wheelers,374838.6088,27.79011349,7601.2,7.790281334,85636,118.6,16801.1,9199.9,437.5857244,16.83539675,19.71756743,1.048459813,0.001384932,11868.9
NTPC Ltd,NTPC,Utilities,Power Generation,355819.1638,17.09691738,9968.67,25.32933569,165122.28,237130.98,40784.59,30815.92,21.46293346,13.16891924,10.62527256,2.11200436,1.436093179,366.95
Axis Bank Ltd,AXISBANK,Financials,Private Banks,339971.6938,12.88445073,-7940.08,20.74152818,157522.96,,-5554.67,2385.41,85.6219105,18.34298083,7.785822208,0.09078904,0,1118.55
Mahindra and Mahindra Ltd,M&M,Consumer Discretionary,Four Wheelers,332736.2829,29.52763447,-15575.94,4.344042899,79531.07,106625.52,-5629.95,9945.99,97.44190628,15.37193314,14.74216385,0.706919263,1.340677549,2736
UltraTech Cement Ltd,ULTRACEMCO,Materials,Cement,325051.252,46.40274832,1891.95,19.02429467,60283.42,11402.95,10897.54,9005.59,242.650895,12.21835109,14.06152158,0.621687935,0.189155658,11421.2
Oil and Natural Gas Corporation Ltd,ONGC,Energy,Oil & Gas - Exploration & Production,306744.9479,6.231947835,61347.07,15.55177725,365090.55,153180.53,99262.69,37915.62,39.12580642,14.72650036,15.61534044,5.023992443,0.419568597,242.25
Bajaj Finserv Ltd,BAJAJFINSV,Financials,Insurance,302082.8061,37.07542856,-70109.67,-39.00009057,103775.85,288932.62,-68674.2,1435.47,51.13520744,8.984521645,5.870087928,0.052771238,2.784199021,1945.05
Wipro Ltd,WIPRO,Information Technology,IT Services & Consulting,281794.3137,25.51283034,16570.6,17.09176951,74667,16464.9,17621.6,1051,10.31003666,14.49560284,17.87784891,0.185423835,0.220511069,271
Hindustan Aeronautics Ltd,HAL,Industrials,Aerospace & Defense Equipments,276190.6995,36.24050485,6467.65,33.61433599,29141.81,50.12,8222.82,1755.17,113.9553662,28.91268018,24.58056276,0.847498668,0.001719866,4012.45
Adani Enterprises Ltd,ADANIENT,Industrials,Commodities Trading,273390.7893,84.39159429,-12053.72,8.341724477,44186.29,65310.15,10312.19,22365.91,28.41707732,7.893992349,8.13609555,0.054208171,1.478063671,2320.35
Titan Company Ltd,TITAN,Consumer Discretionary,"Precious Metals, Jewellery & Watches",273130.106,78.12646053,1004,4.291998505,9393,15528,1695,691,39.28089888,32.83091515,34.90478093,0.358437235,1.65314596,3053.7
Power Grid Corporation of India Ltd,POWERGRID,Utilities,Power Transmission & Distribution,271438.1225,17.42986796,25885.76,73.47572566,87145.11,123516.21,37289.5,11403.74,16.74426711,18.30291106,13.18540761,3.85471989,1.417362489,291
Tata Motors Ltd,TATAMOTORS,Consumer Discretionary,Four Wheelers,262652.8505,8.364982886,36501.73,10.38272117,93093.93,107262.5,67915.36,31413.63,94.49611406,43.10295645,19.3671112,0.759326768,1.152196497,710.3
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Industrials,Ports,259389.4845,31.98138304,7601.28,53.09059564,54680.05,49166.66,15017.58,7416.3,37.54684401,15.94655906,12.30552042,0.499666889,0.89916999,1182.45
JSW Steel Ltd,JSWSTEEL,Materials,Iron & Steel,258963.382,29.38758307,-3723,15.81521139,79812,87948,12078,15801,29.0199729,11.99858392,13.27603146,0.860507642,1.101939558,1061.7
Avenue Supermarts Ltd,DMART,Consumer Discretionary,Retail - Department Stores,254117.7704,100.1974514,14.59,5.342108484,18697.34,592.16,2745.84,2731.25,39.04812575,14.58569846,18.33688144,,0.031670815,3998.8
Coal India Ltd,COALINDIA,Materials,Mining - Coal,250206.7701,6.689610986,1281.76,17.80495027,83581.9,6523.03,18103.1,16821.34,60.69112253,51.51989538,28.42975924,6.280788177,0.078043572,398.3
Bajaj Auto Limited,BAJAJ-AUTO,Consumer Discretionary,Two Wheelers,226912.1657,29.43761036,5835.32,12.47669827,28962.42,1911.74,6558.16,722.84,274.2476811,26.43249422,33.38703696,0.984274264,0.066007606,8006
Asian Paints Ltd,ASIANPAINT,Materials,Paints,222662.1352,40.77889305,3607.52,12.72454611,19423.68,2474.38,6103.6,2496.08,56.92496435,30.44491473,35.29442551,1.434518104,0.127389866,2330.75
Bharat Electronics Ltd,BEL,Information Technology,Electronic Equipments,220828.4184,55.42158614,4006.96,22.26679132,16344.39,62.51,4659.49,652.53,5.450944677,26.36679673,30.17105967,0.728235684,0.003824554,300.03
Nestle India Ltd,NESTLEIND,Consumer Staples,FMCG - Foods,218241.794,55.49216189,2292.12,0,3340.89,344.53,4174.79,1882.67,40.79044541,,82.75267664,1.422544234,0.103125215,2254.85
Adani Power Ltd,ADANIPOWER,Utilities,Power Generation,202084.3158,9.702163007,11567.7,24.08212686,43329.52,34431.07,14170.15,2602.45,54.00342167,56.77420639,31.72330731,,0.794633082,507.7
Eternal Ltd,ZOMATO,Communication Services,Online Services,201967.4522,575.4058468,431,-29.04071968,20406,749,646,215,0.411869578,1.761208259,1.70638838,,0.036704891,209.81
Tata Steel Ltd,TATASTEEL,Materials,Iron & Steel,197764.1067,-44.56716185,2094.07,15.59419622,92432.74,87082.12,20300.67,18206.6,-3.595004498,-4.491155341,3.721589988,2.270768551,0.942113368,156.73
Interglobe Aviation Ltd,INDIGO,Industrials,Airlines,192065.6161,23.50156699,20114.93,13.76114683,1996.43,51280.02,21217.58,1102.65,211.8518947,,23.83480091,,25.68585926,5006.7
Hindustan Zinc Ltd,HINDZINC,Materials,Mining - Diversified,191533.7103,24.68536026,9531,0,15195,8722,13346,3815,18.35294446,55.17118783,48.85052485,2.871035074,0.574004607,444.45
Indian Oil Corporation Ltd,IOC,Energy,Oil & Gas - Refining & Marketing,188758.5935,4.523364383,66092.78,6.35360007,188162.98,132627.56,71098.63,5005.85,30.30135293,25.18560413,24.50153931,8.755030273,0.704854696,131.03
Siemens Ltd,SIEMENS,Industrials,Conglomerates,186008.8622,68.47120009,1327.2,7.521764827,15366.1,279.4,1669.5,342.3,76.2831939,19.08944621,22.57676723,0.229744218,0.018182883,5119.1
Vedanta Ltd,VEDL,Materials,Metals - Diversified,184461.5838,43.51535357,18902,23.88341364,42069,87706,35654,16752,11.39516129,9.265978841,27.25088391,5.949206211,2.084813045,461.8
Trent Ltd,TRENT,Consumer Discretionary,Retail - Apparel,179688.2469,120.8556947,612.03,7.679554766,4102.59,1752.99,1348.98,736.95,41.82426001,43.9520158,40.71843396,0.063307417,0.427288615,5185.05
Varun Beverages Ltd,VBL,Consumer Staples,Soft Drinks,179610.8869,69.22381791,-397.91,14.47108377,16739.64,2826.25,3381.1,3779.01,7.827502607,21.78145843,21.05367573,0.188268655,0.168835769,517.15
DLF Ltd,DLF,Real Estate,Real Estate,174757.0064,64.08162753,2423.29,30.32261341,39431.61,4833.86,2538.81,115.52,11.01719833,7.072033816,5.579479186,0.708215297,0.122588451,695.2
Indian Railway Finance Corp Ltd,IRFC,Financials,Specialized Finance,173549.7597,27.06593612,7905.77,-289.0309854,49178.57,412038.52,7914.1,8.33,4.906536371,13.66331709,1.894284938,1.129518072,8.378416046,129.41
Grasim Industries Ltd,GRASIM,Materials,Cement,170509.6131,30.31556872,-30204.36,5.939206397,138949.52,137143.91,-10719.33,19485.03,85.2489253,4.295577335,7.187493011,0.386183051,0.987005281,2569.45
SBI Life Insurance Company Ltd,SBILIFE,Financials,Insurance,157315.1653,83.06983706,28993.11,30.99164951,14908.56,0,29121.86,128.75,18.91537774,13.56275362,0.528989316,0.171881506,0,1557.2
Divi's Laboratories Ltd,DIVISLAB,Health Care,Labs & Life Sciences Services,156910.5136,98.06907099,258,23.25060497,13571,3,1261,1003,60.27078609,12.14974561,15.27993231,0.507554097,0.00022106,5840.65
Hindalco Industries Ltd,HINDALCO,Materials,Metals - Aluminium,156885.0871,15.44904845,8328,10.35226548,106157,56356,24056,15728,45.17832693,10.10578483,10.42760778,0.501462296,0.530874083,693.45
Adani Green Energy Ltd,ADANIGREEN,Utilities,Renewable Energy,150942.4548,137.2204135,-8060,66.01454117,17448,64858,7713,15773,6.94430206,8.8716832,10.82206879,,3.717216873,923.4
Eicher Motors Ltd,EICHERMOT,Industrials,Trucks & Buses,148712.0803,37.16863499,2905.2,17.78610375,18045.53,419.44,3723.71,818.51,146.2124457,24.22226063,26.91487094,0.939001533,0.023243429,5431.25
Jio Financial Services Ltd,JIOFIN,Financials,Consumer Finance,147824.8993,92.12857143,-678.36,0,139147.66,0,-677.57,0.79,5.049482769,1.267076772,1.351639169,,0,227.53
HDFC Life Insurance Company Ltd,HDFCLIFE,Financials,Insurance,146344.9635,92.97115382,10585.4,13.43707663,14666.35,950,10721.35,135.95,7.320769645,11.3819163,0.332587191,0.29395533,0.064774126,673.1
Pidilite Industries Ltd,PIDILITIND,Materials,Diversified Chemicals,143540.6787,83.00123666,2165.32,16.10600642,8617.01,382.47,2724.03,558.71,34.01199528,21.53255975,26.19672495,0.566929843,0.044385465,2823.05
Hyundai Motor India Ltd,HYUNDAI,Consumer Discretionary,Four Wheelers,142925.9795,23.58498945,6005.75,0,10665.66,833.24,9251.96,3246.21,74.58133502,39.45276897,62.89633427,7.544059125,0.078123623,1740.55
Tech Mahindra Ltd,TECHM,Information Technology,IT Services & Consulting,142800.9178,60.56532267,5585.3,13.25272771,27146.8,2536.7,6376.4,791.1,26.756168,8.490228028,11.84508311,2.472037036,0.093443794,1455.5
Power Finance Corporation Ltd,PFC,Financials,Specialized Finance,140419.3299,7.105824248,-98143.82,-69.3255481,134288.54,861961.06,-97820.41,323.41,59.88045653,16.04838141,3.4177868,3.172737955,6.418723891,419.25
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Financials,Asset Management,138399.0444,19.04431609,1940.81,31.44503994,62971.03,62.57,1941.12,0.31,652.9769795,12.69005613,11.51591507,1.053435728,0.000993632,12521.5
LTIMindtree Ltd,LTIM,Information Technology,IT Services & Consulting,136868.7508,29.87031073,4826.3,14.11259571,20026.4,2070.6,5669.5,843.2,154.848858,25.02129658,28.76185147,1.405769374,0.103393521,4606.4
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Financials,Consumer Finance,128605.0926,37.60316854,-36759.09,-112.1236936,19593.24,134474.88,-35682.85,1076.24,41.12333716,20.15395703,3.736522245,0.130729421,6.863330414,1529.05
Shriram Finance Ltd,SHRIRAMFIN,Financials,Consumer Finance,128242.1806,17.40911827,-31366.9,-45.66404669,49676.69,195496.08,-31101.41,265.49,39.27583458,15.76096939,4.157232532,1.318651661,3.93536848,678.35
Ambuja Cements Ltd,AMBUJACEM,Materials,Cement,127910.0022,35.76111603,1163.36,3.637419769,50845.9,699.01,5645.82,4482.46,17.10024077,7.983687946,11.62576444,0.343628481,0.013747618,520.55
Cipla Ltd,CIPLA,Health Care,Pharmaceuticals,123084.8872,29.86373747,2784.61,16.30044261,26802.33,559.41,4133.91,1349.3,51.05611558,16.31784229,21.22560539,0.852726281,0.020871693,1511.2
Tata Power Company Ltd,TATAPOWER,Utilities,Power Transmission & Distribution,122477.3648,33.13557385,-736.64,18.68552035,38332.77,53689.45,12596.11,13332.75,11.56164975,10.19136608,10.5980939,0.522054316,1.400614931,377.1
Bharat Petroleum Corporation Ltd,BPCL,Energy,Oil & Gas - Refining & Marketing,121669.0479,4.529944253,26356.77,5.792517324,75635.11,54599.05,35935.9,9579.13,62.96396427,41.59084256,33.19499661,7.374454218,0.721874405,279.11
Macrotech Developers Ltd,LODHA,Real Estate,Real Estate,121379.1912,78.35465184,2342.6,29.46900754,17547.2,7684.4,2512.3,169.7,15.82301462,10.23220791,12.69239913,0.184341851,0.437927419,1209.8
Indian Hotels Company Ltd,INDHOTEL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",119867.2278,95.20298938,1298.18,15.34265893,10128.71,2736.23,1935.14,636.96,8.854740703,13.41522666,14.80743077,0.207813799,0.270145951,828.55
Gail (India) Ltd,GAIL,Utilities,Gas Distribution,119193.0438,12.04065005,84.55,9.426323481,77195.78,21793.77,12585.72,12501.17,15.05561974,13.91289951,12.9168001,3.033989811,0.282318153,181.28
ABB India Ltd,ABB,Industrials,Heavy Electrical Equipments,117231.9512,62.63595094,1168.4,8.812290871,5944.6,48.98,1351.48,183.08,88.32,22.82338954,42.20356337,0.798235783,0.008239411,5414.15
REC Limited,RECLTD,Financials,Specialized Finance,117033.6407,8.273583233,-57756.28,-89.84881142,69350.25,445567.5,-57722.65,33.63,53.71916707,22.1940467,3.565126412,3.599955001,6.424886716,442.75
Bank of Baroda Ltd,BANKBARODA,Financials,Public Banks,116081.5668,6.185283552,-7152.75,0.544198105,120730.15,,-6273.96,878.79,36.19531837,16.55121749,8.418065088,3.394701384,0,223.07
TVS Motor Company Ltd,TVSMOTOR,Consumer Discretionary,Two Wheelers,116058.7378,68.82163332,-2397.84,-3.095443564,7511.11,26005.7,-1252.67,1145.17,35.49601642,25.13039306,22.10773621,0.327480462,3.462297849,2421.5
Britannia Industries Ltd,BRITANNIA,Consumer Staples,FMCG - Foods,115540.9086,53.9958728,2011.46,13.11832205,3966.02,2064.96,2572.98,561.52,88.83734537,56.83033841,61.70873195,1.532255543,0.520663032,4845.2
Godrej Consumer Products Ltd,GODREJCP,Consumer Staples,FMCG - Personal Products,113175.3711,-201.9005817,2069.95,15.21753818,12598.57,3222.2,2069.95,0,-5.480769613,-4.247749386,3.966648284,1.355622234,0.255759185,1129.85
Max Healthcare Institute Ltd,MAXHEALTH,Health Care,Hospitals & Diagnostic Centres,111431.7828,105.3588961,335.85,15.88592131,8408.14,1298.95,1121.8,785.95,10.88759337,13.37284174,13.25625068,0.130830592,0.154487199,1172.75
Torrent Pharmaceuticals Ltd,TORNTPHARM,Health Care,Pharmaceuticals,110720.7335,66.84500747,2833.3,23.48118773,6856.15,4021.94,3266.08,432.78,48.9408278,25.37692792,29.79747142,0.85588959,0.586617854,3245.05
Punjab National Bank,PNB,Financials,Public Banks,110251.8048,12.10600456,-29083.09,7.092385939,110947.5,,-27939.44,1143.65,8.270990039,8.49998726,6.41305743,1.498072832,0,93.81
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Industrials,Shipbuilding,107089.3224,55.28703201,252.58,4.270198379,6243.47,0.93,683.75,431.17,48.01849373,35.20601838,35.72051197,0.516988097,0.000148956,2614.5
Shree Cement Ltd,SHREECEM,Materials,Cement,106231.2835,44.34248174,147.14,21.52987923,20744.04,1655.55,3347.49,3200.35,663.9829086,12.15443545,14.76155172,0.356625508,0.079808465,29544.05
Bajaj Housing Finance Ltd,BAJAJHFL,Financials,Consumer Finance,101303.5765,58.5157152,-15471.11,-197.1732956,12233.5,69129.32,-15428.11,43,2.579231044,15.22842595,2.778291248,,5.650821106,119.63
United Spirits Ltd,UNITDSPR,Consumer Staples,Alcoholic Beverages,101283.6063,71.93437946,1020,11.13569392,7121,265,1118,98,19.35792052,21.46341463,26.57775333,0.646319569,0.037213874,1365.55
Dr Reddy's Laboratories Ltd,DRREDDY,Health Care,Pharmaceuticals,100836.4332,18.07784886,1799.8,17.21991399,28254.8,2002,4543.3,2743.5,66.93222806,21.64455801,25.2540962,0.661738067,0.070855218,1177.9
JSW Energy Ltd,JSWENERGY,Utilities,Power Generation,100390.6171,58.27482115,-1799.14,35.79249897,21014.24,31572.97,6233.63,8032.77,10.50089574,8.668067813,8.357478136,0.326830591,1.502455954,555.35
Adani Energy Solutions Ltd,ADANIENSOL,Utilities,Power Infrastructure,98535.20871,86.64111627,608.08,34.78642544,13703.13,37069.65,6037.62,5429.54,10.19531564,8.557765747,8.988674958,,2.70519582,816.55
Solar Industries India Ltd,SOLARINDS,Materials,Commodity Chemicals,98365.40449,117.67182,846.26,13.65143593,3427.25,1137.84,1406.01,559.75,92.37810719,27.0617276,31.17685162,0.078194714,0.331997958,10772.7
Mankind Pharma Ltd,MANKIND,Health Care,Pharmaceuticals,97869.81528,51.16332632,1763.24,17.55924478,9575.79,207.18,2152.45,389.21,47.75200203,22.24409678,24.93460096,,0.021635813,2398.05
Union Bank of India Ltd,UNIONBANK,Financials,Public Banks,97297.93707,7.052046881,18280.89,18.38423237,97597.66,,19929.69,1648.8,19.07213617,15.64288944,11.93639857,2.824415503,0,123.36
Lupin Ltd,LUPIN,Health Care,Pharmaceuticals,96789.50671,50.5565515,2719.46,10.54266499,14373.45,2921.77,3648.36,928.9,42.0459774,14.22544803,17.92730532,0.376634967,0.203275484,2068.75
CG Power and Industrial Solutions Ltd,CGPOWER,Industrials,Heavy Electrical Equipments,96762.14711,67.8076167,162.72,6.726736428,3018.77,17.44,396.99,234.27,9.343635646,59.33254473,55.12180991,0.205202988,0.005777187,626.9
Tata Consumer Products Ltd,TATACONSUM,Consumer Staples,Tea & Coffee,96025.45959,83.47644554,1601.99,12.00176623,17436.13,3477.22,1936.68,334.69,12.0754479,6.656422574,8.417351771,0.769011662,0.199426134,970.7
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Health Care,Hospitals & Diagnostic Centres,95125.05338,105.8591736,783.4,10.53375233,7320.5,5332.6,1920.2,1136.8,62.49623699,12.97448707,15.00202853,0.241845279,0.72844751,6644.7
Muthoot Finance Ltd,MUTHOOTFIN,Financials,Consumer Finance,94446.38768,21.84095102,-13976.44,-49.18161177,25754.04,68273.57,-13754.02,222.42,107.7151985,18.05287095,8.127121654,1.020163975,2.650984855,2345.45
Samvardhana Motherson International Ltd,MOTHERSON,Consumer Discretionary,Auto Parts,94286.3539,34.71259624,3443.5,7.279538687,28215.5,19921.9,7568.9,4125.4,4.008310365,10.32924909,13.31075384,0.574965185,0.706062271,131.46
Jindal Steel And Power Ltd,JINDALSTEL,Materials,Iron & Steel,93361.9458,15.72168115,-2508.74,22.80182329,44750.65,16472.14,6008.35,8517.09,59.16528843,14.17795465,12.02476986,0.214734171,0.368087167,908.8
Havells India Ltd,HAVELLS,Industrials,Electrical Components & Equipments,92987.99769,73.17510599,1166.82,8.152738436,7446.76,303.16,1952.89,786.07,20.28035961,18.06056049,21.98362866,0.606545727,0.040710322,1477.25
Zydus Lifesciences Ltd,ZYDUSLIFE,Health Care,Pharmaceuticals,92945.83366,24.08235099,2321.3,17.35640151,22101.6,804.2,3227.9,906.6,38.24244047,18.47097026,20.91161373,0.324780773,0.036386506,923.7
Indus Towers Ltd,INDUSTOWER,Communication Services,Telecom Infrastructure,92052.7594,15.25011753,2629.2,34.85545898,27038.8,20531,11582.1,8952.9,22.39829767,25.07336708,21.84633492,,0.759316242,339.75
Info Edge (India) Ltd,NAUKRI,Communication Services,Online Services,91868.74444,159.716176,672.6,15.83618784,31628.49,246.38,702.3,29.7,44.56548284,2.497917678,2.640358284,0.30922312,0.007789812,7145.7
Dabur India Ltd,DABUR,Consumer Staples,FMCG - Personal Products,89891.81797,48.78319511,1449.61,16.67342803,10303.08,1365.09,2013.47,563.86,10.41092837,18.6652391,22.19681332,1.084216073,0.13249339,509.25
SRF Ltd,SRF,Materials,Diversified Chemicals,88671.04003,66.38494885,-123.07,18.13552295,11479.02,5030.54,2093.86,2216.93,44.90614352,12.25080906,13.32016795,0.241522231,0.438237759,2945.65
ICICI Lombard General Insurance Company Ltd,ICICIGI,Financials,Insurance,88481.76914,46.11812276,2216.33,14.59173175,12205.01,35,2406.77,190.44,39.00324705,16.94196996,19.67787546,0.612503378,0.002867675,1779.5
Dixon Technologies (India) Ltd,DIXON,Consumer Discretionary,Home Electronics & Appliances,87765.83465,238.6562465,-0.12,3.963980697,1731.28,480.16,584.31,584.43,61.60907663,24.31621996,25.45672768,0.034080229,0.277343931,13624.5
HDFC Asset Management Company Ltd,HDFCAMC,Financials,Asset Management,87664.78595,45.12546312,1595.66,0,7075.01,0,1614.69,19.03,91.01196238,29.47303424,34.42035889,1.704661665,0,4112.3
Ntpc Green Energy Ltd,NTPCGREEN,Utilities,Renewable Energy,87515.85994,253.8825678,-6883.97,0,6232.21,13856.58,1579.12,8463.09,0.660413195,6.19998741,5.243685474,,2.223381433,100.25
IDBI Bank Ltd,IDBI,Financials,Private Banks,87008.4384,15.03229702,-1447.85,4.345758059,51225.92,,-1225.9,221.95,5.383076178,11.85070499,9.652125876,1.85368265,0,78.62
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Financials,Insurance,86262.74697,101.4044611,-7551.67,8.343876767,11004.61,1200,-7315.06,236.61,5.909166843,8.065561367,0.350943183,0.100201972,0.109045209,592.25
Cummins India Ltd,CUMMINSIND,Industrials,Industrial Machinery,84719.25,49.23877413,997.16,12.27343716,6612.32,126.98,1285.34,288.18,62.06998557,27.81733406,32.28443151,1.243353783,0.019203547,2962.5
Indian Overseas Bank,IOB,Financials,Public Banks,84059.0273,31.53403934,-1484.21,0,27561.45,,-1118.95,365.26,1.410222126,10.16700075,5.205615089,,0,42.77
NHPC Ltd,NHPC,Utilities,Renewable Energy,83996.58104,23.17517866,-59.64,43.87814973,43892.41,32560.8,6937.5,6997.14,3.608170674,8.455730666,6.753655485,2.272183688,0.74183213,81.31
Persistent Systems Ltd,PERSISTENT,Information Technology,Software Services,83570.65145,76.42492131,937.39,12.93921409,4957.71,451.13,1221.31,283.92,47.56933116,24.51027089,28.80610998,0.479271123,0.090995641,5558.3
Bosch Ltd,BOSCHLTD,Consumer Discretionary,Auto Parts,83398.57596,33.47592661,923.3,7.577155596,12056.9,39.3,1252.8,329.5,844.6905841,21.60523805,26.36818356,1.326175522,0.003259544,27448.1
Canara Bank Ltd,CANBK,Financials,Public Banks,82833.18731,5.421531041,13793.35,6.116581549,93133.66,,15046.5,1253.15,16.84395041,17.75635245,8.977459202,3.526062199,0,88.46
GMR Airports Ltd,GMRAIRPORT,Industrials,Construction & Engineering,82275.54062,-147.1123797,-644.48,29.84910305,-851.26,35886.59,3880.1,4524.58,-0.926565723,-951.2203419,5.604938012,,,75.68
Marico Ltd,MARICO,Consumer Staples,FMCG - Personal Products,81928.17008,55.31949364,1283,14.45554163,4169,528,1436,153,11.47156662,36.45538462,40.94520269,1.497003024,0.126649077,624.8
SBI Cards and Payment Services Ltd,SBICARD,Financials,Payment Infrastructure,81293.19537,33.76131509,-5526.03,-30.25319456,12084.03,39891.08,-5451.54,74.49,25.38561453,21.97563303,12.83404027,0.292450221,3.301140431,859.2
Swiggy Ltd,SWIGGY,Communication Services,Online Services,80223.72719,-34.13412496,-1664.45,0,7791.46,864.19,-1312.74,351.71,-829.8975111,-27.89933803,-27.05630789,,0.110915027,337.5
Suzlon Energy Ltd,SUZLON,Industrials,Renewable Energy Equipment & Services,79039.77521,119.6937612,-147.83,1.604349441,3920.31,150.24,79.53,227.36,0.506291258,26.31164769,19.75483014,,0.0383235,57.65
General Insurance Corporation of India,GICRE,Financials,Insurance,77526.936,11.59563916,11138.77,22.12299221,55256.55,0,11144.45,5.68,38.10915413,13.3129911,9.248160908,2.26295542,0,427.35
Rail Vikas Nigam Ltd,RVNL,Financials,Specialized Finance,77468.92182,49.20848746,2614,2.702296162,8745.85,6032.52,2954.43,340.43,7.550526731,19.68853274,17.44467217,0.567891266,0.689758,370.35
Torrent Power Ltd,TORNTPOWER,Utilities,Power Transmission & Distribution,77102.28111,42.05816025,601.87,20.16319319,12597.5,11631.8,4258.35,3656.48,38.14327882,15.22353913,13.82039987,0.997359408,0.923341933,1492.1
Hindustan Petroleum Corp Ltd,HINDPETRO,Energy,Oil & Gas - Refining & Marketing,77005.89689,4.808477814,13780.63,3.742703849,46921.35,66683.82,23851.87,10071.24,75.18890759,40.44878917,23.90686924,5.808457264,1.421182894,361.45
PB Fintech Ltd,POLICYBZR,Communication Services,Online Services,76826.58557,1147.007847,-54.7,-30.21368451,5876.47,253.33,8.65,63.35,1.486264898,1.179093534,1.695089579,,0.043109214,1609.85
Bharat Heavy Electricals Ltd,BHEL,Industrials,Heavy Electrical Equipments,75748.80622,268.4033953,-3945.4,-5.02889208,24438.65,8856.46,-3712.9,232.5,0.810496453,1.156238689,3.178539291,0.114921394,0.362395632,213.6
Polycab India Ltd,POLYCAB,Industrials,Electrical Components & Equipments,75595.78291,42.3733677,437.72,7.59643362,8243.35,161.09,1296.24,858.52,118.9353367,23.91804767,29.07165654,0.596209428,0.019541812,5152.15
Indian Bank,INDIANB,Financials,Public Banks,73813.62616,8.767078235,-9243.84,0.006403855,60277.51,,-8617.26,626.58,64.9544312,15.33443244,10.11951431,2.189781022,0,543.05
